CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label class
1,0.352956124,0.2,8,0.058823529,0.5,2,1
1,0.265872586,0.111111111,24,0.023255814,0.5,0,1
1,0.352956124,0.111111111,24,0.058823529,0.5,2,1
1,0.265872586,0.076923077,40,0.023255814,0.5,0,1
1,0.265872586,0.066666667,48,0.023255814,0.5,0,1
1,0.352956124,0.083333333,36,0.058823529,0.5,2,1
1,0.265872586,0.0625,52,0.023255814,0.5,0,1
2,0.61882871,0.166666667,40,0.082079343,0.5,0,1
1,0.265872586,0.0625,52,0.023255814,0.5,0,1
1,0.352956124,0.125,20,0.058823529,0.5,2,1
1,0.352956124,0.125,20,0.058823529,0.5,0,1
1,0.265872586,0.083333333,36,0.023255814,0.5,0,1
1,0.265872586,0.111111111,24,0.023255814,0.5,0,1
1,0.265872586,0.142857143,16,0.023255814,0.5,0,1
1,0.265872586,0.125,20,0.023255814,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
2,0.61882871,0.125,56,0.082079343,0.5,3,1
1,0.265872586,0.076923077,40,0.023255814,0.5,2,1
1,0.265872586,0.1,28,0.023255814,0.5,2,1
1,0.265872586,0.125,20,0.023255814,0.5,2,1
1,0.265872586,0.125,20,0.023255814,0.5,0,1
1,0.265872586,0.125,20,0.023255814,0.5,0,1
1,0.265872586,0.125,20,0.023255814,0.5,0,1
1,0.265872586,0.083333333,36,0.023255814,0.5,0,1
1,0.265872586,0.125,20,0.023255814,0.5,0,1
1,0.265872586,0.142857143,16,0.023255814,0.5,2,1
1,0.417032391,0.037037037,180,0.090909091,0.5,0,1
1,0.267546386,0.052631579,100,0.023809524,0.5,2,1
1,0.417032391,0.047619048,120,0.090909091,0.5,0,1
1,0.267546386,0.016393443,520,0.023809524,0.5,0,1
1,0.267546386,0.032258065,220,0.023809524,0.5,0,1
1,0.267546386,0.037037037,180,0.023809524,0.5,0,1
1,0.267546386,0.045454545,130,0.023809524,0.5,1,1
1,0.267546386,0.076923077,40,0.023809524,0.5,2,1
1,0.267546386,0.1,10,0.023809524,0.5,0,1
1,0.267546386,0.071428571,50,0.023809524,0.5,0,1
1,0.267546386,0.076923077,40,0.023809524,0.5,0,1
1,0.267546386,0.071428571,50,0.023809524,0.5,0,1
1,0.267546386,0.052631579,100,0.023809524,0.5,0,1
1,0.267546386,0.045454545,130,0.023809524,0.5,0,1
2,0.975143018,0.125,80,0.257575758,0.5,0,1
1,0.267546386,0.0625,70,0.023809524,0.5,0,1
1,0.417032391,0.047619048,120,0.090909091,0.5,0,1
1,0.267546386,0.071428571,50,0.023809524,0.5,0,1
1,0.417032391,0.043478261,140,0.090909091,0.5,0,1
1,0.417032391,0.052631579,100,0.090909091,0.5,0,1
1,0.417032391,0.045454545,130,0.090909091,0.5,0,1
1,0.267546386,0.090909091,20,0.023809524,0.5,0,1
1,0.267546386,0.090909091,20,0.023809524,0.5,0,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.267546386,0.071428571,50,0.023809524,0.5,1,1
1,0.267546386,0.071428571,50,0.023809524,0.5,0,1
1,0.267546386,0.071428571,50,0.023809524,0.5,2,1
1,0.267546386,0.076923077,40,0.023809524,0.5,0,1
1,0.267546386,0.1,10,0.023809524,0.5,0,1
2,0.975143018,0.181818182,30,0.257575758,0.5,3,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.267546386,0.05,110,0.023809524,0.5,0,1
1,0.267546386,0.066666667,60,0.023809524,0.5,0,1
1,0.267546386,0.083333333,30,0.023809524,0.5,0,1
1,0.267546386,0.043478261,140,0.023809524,0.5,2,1
1,0.267546386,0.083333333,30,0.023809524,0.5,0,1
1,0.267546386,0.083333333,30,0.023809524,0.5,2,1
1,0.417032391,0.066666667,60,0.090909091,0.5,4,1
1,0.267546386,0.052631579,100,0.023809524,0.5,0,1
1,0.267546386,0.083333333,30,0.023809524,0.5,2,1
1,0.267546386,0.083333333,30,0.023809524,0.5,0,1
1,0.267546386,0.066666667,60,0.023809524,0.5,0,1
1,0.267546386,0.076923077,40,0.023809524,0.5,1,1
1,0.267546386,0.071428571,50,0.023809524,0.5,2,1
1,0.267546386,0.076923077,40,0.023809524,0.5,1,1
1,0.267546386,0.083333333,30,0.023809524,0.5,2,1
1,0.267546386,0.071428571,50,0.023809524,0.5,2,1
1,0.267546386,0.071428571,50,0.023809524,0.5,0,1
1,0.267546386,0.058823529,80,0.023809524,0.5,0,1
1,0.417032391,0.076923077,40,0.090909091,0.5,0,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.417032391,0.066666667,60,0.090909091,0.5,0,1
1,0.291206676,0.166666667,12,0.032258065,0.5,0,1
2,0.614722129,0.071428571,104,0.07771261,0.5,3,1
1,0.291206676,0.023255814,160,0.032258065,0.5,0,1
1,0.291206676,0.066666667,48,0.032258065,0.5,0,1
2,0.614722129,0.071428571,104,0.07771261,0.5,0,1
2,0.614722129,0.166666667,40,0.07771261,0.5,3,1
2,0.614722129,0.117647059,60,0.07771261,0.5,0,1
1,0.291206676,0.052631579,64,0.032258065,0.5,0,1
2,0.614722129,0.153846154,44,0.07771261,0.5,0,1
2,0.614722129,0.2,32,0.07771261,0.5,0,1
1,0.291206676,0.071428571,44,0.032258065,0.5,0,1
1,0.323515453,0.111111111,24,0.045454545,0.5,2,1
1,0.323515453,0.090909091,32,0.045454545,0.5,2,1
2,0.614722129,0.153846154,44,0.07771261,0.5,3,1
2,0.614722129,0.181818182,36,0.07771261,0.5,3,1
1,0.323515453,0.1,28,0.045454545,0.5,2,1
1,0.323515453,0.034482759,104,0.045454545,0.5,2,1
1,0.291206676,0.055555556,60,0.032258065,0.5,0,1
1,0.323515453,0.111111111,24,0.045454545,0.5,0,1
2,0.614722129,0.166666667,40,0.07771261,0.5,3,1
2,0.614722129,0.25,24,0.07771261,0.5,0,1
2,0.614722129,0.166666667,40,0.07771261,0.5,0,1
2,0.614722129,0.25,24,0.07771261,0.5,0,1
2,0.614722129,0.153846154,44,0.07771261,0.5,0,1
1,0.291206676,0.125,20,0.032258065,0.5,2,1
1,0.291206676,0.125,20,0.032258065,0.5,0,1
1,0.291206676,0.076923077,40,0.032258065,0.5,0,1
1,0.291206676,0.083333333,36,0.032258065,0.5,0,1
1,0.291206676,0.083333333,36,0.032258065,0.5,0,1
1,0.291206676,0.083333333,36,0.032258065,0.5,0,1
1,0.291206676,0.083333333,36,0.032258065,0.5,0,1
1,0.291206676,0.125,20,0.032258065,0.5,2,1
1,0.402429604,0.125,20,0.083333333,0.5,0,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.402429604,0.058823529,56,0.083333333,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.417032391,0.1,28,0.090909091,0.5,0,1
1,0.417032391,0.1,28,0.090909091,0.5,4,1
1,0.417032391,0.1,28,0.090909091,0.5,0,1
1,0.417032391,0.1,28,0.090909091,0.5,4,1
1,0.417032391,0.1,28,0.090909091,0.5,0,1
1,0.417032391,0.1,28,0.090909091,0.5,0,1
1,0.417032391,0.1,28,0.090909091,0.5,0,1
1,0.402429604,0.111111111,24,0.083333333,0.5,0,1
1,0.402429604,0.111111111,24,0.083333333,0.5,4,1
1,0.345976256,0.0625,42,0.055555556,0.5,0,1
1,0.345976256,0.052631579,84,0.055555556,0.5,0,1
3,1.462197509,0.111111111,224,0.388888889,0.5,0,1
1,0.345976256,0.052631579,84,0.055555556,0.5,0,1
1,0.345976256,0.052631579,84,0.055555556,0.5,0,1
2,0.705912248,0.08,182,0.117647059,0.5,0,1
1,0.345976256,0.05,98,0.055555556,0.5,0,1
2,0.705912248,0.1,112,0.117647059,0.5,0,1
1,0.345976256,0.052631579,84,0.055555556,0.5,0,1
1,0.345976256,0.045454545,126,0.055555556,0.5,0,1
1,0.345976256,0.055555556,70,0.055555556,0.5,0,1
3,1.462197509,0.157894737,112,0.388888889,0.5,0,1
3,1.462197509,0.1875,70,0.388888889,0.5,0,1
1,0.345976256,0.055555556,70,0.055555556,0.5,0,1
2,0.705912248,0.083333333,168,0.117647059,0.5,0,1
2,0.705912248,0.090909091,140,0.117647059,0.5,0,1
2,0.705912248,0.083333333,168,0.117647059,0.5,0,1
2,0.705912248,0.1,112,0.117647059,0.5,0,1
2,0.705912248,0.1,112,0.117647059,0.5,0,1
1,0.345976256,0.0625,42,0.055555556,0.5,0,1
1,0.345976256,0.052631579,84,0.055555556,0.5,0,1
1,0.345976256,0.066666667,28,0.055555556,0.5,0,1
1,0.455119613,0.071428571,44,0.111111111,0.5,0,1
2,0.742827369,0.066666667,231,0.135746606,0.5,3,1
1,0.36067376,0.028571429,275,0.0625,0.5,1,1
1,0.36067376,0.076923077,33,0.0625,0.5,0,1
1,0.36067376,0.076923077,33,0.0625,0.5,0,1
1,0.455119613,0.0625,66,0.111111111,0.5,0,1
2,0.742827369,0.166666667,33,0.135746606,0.5,3,1
1,0.36067376,0.045454545,132,0.0625,0.5,0,1
1,0.352956124,0.058823529,77,0.058823529,0.5,2,1
1,0.36067376,0.076923077,33,0.0625,0.5,0,1
1,0.389871245,0.076923077,33,0.076923077,0.5,0,1
1,0.352956124,0.076923077,33,0.058823529,0.5,2,1
1,0.352956124,0.071428571,44,0.058823529,0.5,0,1
1,0.352956124,0.034482759,209,0.058823529,0.5,2,1
1,0.36067376,0.066666667,55,0.0625,0.5,1,1
1,0.36067376,0.076923077,33,0.0625,0.5,0,1
1,0.36067376,0.076923077,33,0.0625,0.5,1,1
1,0.36067376,0.076923077,33,0.0625,0.5,1,1
1,0.36067376,0.076923077,33,0.0625,0.5,1,1
1,0.455119613,0.071428571,44,0.111111111,0.5,0,1
1,0.455119613,0.071428571,44,0.111111111,0.5,0,1
4,2.188230222,0.8,20,0.642857143,0.5,0,1
4,2.188230222,0.4,40,0.642857143,0.5,0,1
1,0.513898342,0.25,4,0.142857143,0.5,0,1
1,0.72134752,0.1,24,0.25,0.5,0,1
1,0.72134752,0.1,24,0.25,0.5,0,1
1,0.402429604,0.076923077,48,0.083333333,0.5,0,1
1,0.72134752,0.125,8,0.25,0.5,0,1
1,0.513898342,0.111111111,16,0.142857143,0.5,0,1
4,1.929558187,0.444444444,40,0.503968254,0.5,0,1
1,0.402429604,0.111111111,16,0.083333333,0.5,0,1
1,0.455119613,0.1,24,0.111111111,0.5,0,1
1,0.455119613,0.1,24,0.111111111,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.090909091,32,0.083333333,0.5,0,1
1,0.402429604,0.111111111,16,0.083333333,0.5,0,1
1,0.455119613,0.1,24,0.111111111,0.5,0,1
1,0.239556116,0.166666667,10,0.015384615,0.5,0,1
1,0.239556116,0.333333333,4,0.015384615,0.5,2,1
2,0.797666742,0.125,32,0.182051282,0.5,3,1
1,0.239556116,0.1,18,0.015384615,0.5,0,1
1,0.239556116,0.1,18,0.015384615,0.5,0,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.111111111,16,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.125,14,0.015384615,0.5,0,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
2,0.797666742,0.5,8,0.182051282,0.5,3,1
1,0.239556116,0.111111111,16,0.015384615,0.5,2,1
1,0.239556116,0.333333333,4,0.015384615,0.5,2,1
2,0.797666742,0.666666667,6,0.182051282,0.5,3,1
2,0.797666742,0.666666667,6,0.182051282,0.5,3,1
1,0.239556116,0.071428571,26,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.1,18,0.015384615,0.5,2,1
1,0.239556116,0.071428571,26,0.015384615,0.5,0,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.125,14,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.333333333,4,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.125,14,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,3,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.166666667,10,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.5,2,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.333333333,4,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.142857143,12,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,0,1
1,0.239556116,0.2,8,0.015384615,0.5,2,1
1,0.239556116,0.25,6,0.015384615,0.5,2,1
1,0.318928989,0.1,30,0.043478261,0.5,2,1
1,0.318928989,0.05,90,0.043478261,0.5,0,1
1,0.318928989,0.111111111,24,0.043478261,0.5,2,1
1,0.318928989,0.111111111,24,0.043478261,0.5,2,1
1,0.318928989,0.071428571,54,0.043478261,0.5,2,1
1,0.318928989,0.125,18,0.043478261,0.5,0,1
1,0.318928989,0.1,30,0.043478261,0.5,2,1
1,0.318928989,0.111111111,24,0.043478261,0.5,2,1
1,0.318928989,0.076923077,48,0.043478261,0.5,2,1
1,0.318928989,0.142857143,12,0.043478261,0.5,2,1
1,0.318928989,0.090909091,36,0.043478261,0.5,2,1
1,0.318928989,0.111111111,24,0.043478261,0.5,0,1
1,0.318928989,0.111111111,24,0.043478261,0.5,0,1
1,0.318928989,0.090909091,36,0.043478261,0.5,2,1
1,0.318928989,0.111111111,24,0.043478261,0.5,0,1
1,0.318928989,0.111111111,24,0.043478261,0.5,0,1
1,0.318928989,0.142857143,12,0.043478261,0.5,0,1
1,0.318928989,0.142857143,12,0.043478261,0.5,2,1
1,0.72134752,0.142857143,15,0.25,0.5,0,1
1,0.455119613,0.045454545,60,0.111111111,0.5,2,1
3,1.04553552,0.136363636,100,0.170278638,0.5,4,1
3,1.04553552,0.115384615,180,0.170278638,0.5,4,1
3,1.04553552,0.115384615,180,0.170278638,0.5,4,1
2,0.705912248,0.090909091,80,0.117647059,0.5,0,1
1,0.455119613,0.047619048,40,0.111111111,0.5,2,1
1,0.339623272,0.045454545,60,0.052631579,0.5,2,1
1,0.339623272,0.027027027,360,0.052631579,0.5,2,1
1,0.339623272,0.028571429,320,0.052631579,0.5,2,1
1,0.455119613,0.045454545,60,0.111111111,0.5,2,1
2,0.705912248,0.047619048,480,0.117647059,0.5,0,1
2,0.705912248,0.058823529,320,0.117647059,0.5,0,1
1,0.339623272,0.03125,260,0.052631579,0.5,2,1
2,0.705912248,0.047619048,480,0.117647059,0.5,0,1
2,0.705912248,0.083333333,120,0.117647059,0.5,3,1
2,0.705912248,0.068965517,220,0.117647059,0.5,3,1
1,0.339623272,0.043478261,80,0.052631579,0.5,2,1
1,0.339623272,0.043478261,80,0.052631579,0.5,2,1
2,0.705912248,0.086956522,100,0.117647059,0.5,3,1
2,0.705912248,0.086956522,100,0.117647059,0.5,3,1
1,0.339623272,0.03125,260,0.052631579,0.5,2,1
1,0.339623272,0.035714286,180,0.052631579,0.5,2,1
1,0.455119613,0.047619048,40,0.111111111,0.5,2,1
1,0.455119613,0.045454545,60,0.111111111,0.5,0,1
1,0.339623272,0.04,120,0.052631579,0.5,2,1
1,0.339623272,0.04,120,0.052631579,0.5,0,1
1,0.333808201,0.090909091,27,0.05,0.5,2,1
1,0.455119613,0.090909091,27,0.111111111,0.5,2,1
3,1.04553552,0.272727273,45,0.170278638,0.5,4,1
3,1.04553552,0.2,81,0.170278638,0.5,4,1
3,1.04553552,0.2,81,0.170278638,0.5,4,1
2,0.705912248,0.181818182,36,0.117647059,0.5,0,1
1,0.333808201,0.076923077,45,0.05,0.5,2,1
1,0.333808201,0.071428571,54,0.05,0.5,2,1
1,0.333808201,0.090909091,27,0.05,0.5,2,1
1,0.455119613,0.1,18,0.111111111,0.5,2,1
1,0.339623272,0.090909091,27,0.052631579,0.5,2,1
1,0.339623272,0.038461538,162,0.052631579,0.5,2,1
1,0.339623272,0.041666667,144,0.052631579,0.5,2,1
1,0.455119613,0.090909091,27,0.111111111,0.5,2,1
1,0.333808201,0.076923077,45,0.05,0.5,2,1
2,0.705912248,0.064516129,216,0.117647059,0.5,0,1
2,0.705912248,0.086956522,144,0.117647059,0.5,0,1
1,0.333808201,0.1,18,0.05,0.5,2,1
1,0.339623272,0.047619048,117,0.052631579,0.5,2,1
2,0.705912248,0.064516129,216,0.117647059,0.5,0,1
1,0.333808201,0.1,18,0.05,0.5,2,1
2,0.705912248,0.153846154,54,0.117647059,0.5,3,1
1,0.333808201,0.076923077,45,0.05,0.5,2,1
2,0.705912248,0.111111111,99,0.117647059,0.5,3,1
1,0.333808201,0.071428571,54,0.05,0.5,2,1
1,0.333808201,0.090909091,27,0.05,0.5,2,1
1,0.339623272,0.083333333,36,0.052631579,0.5,2,1
1,0.339623272,0.083333333,36,0.052631579,0.5,2,1
2,0.705912248,0.166666667,45,0.117647059,0.5,3,1
2,0.705912248,0.166666667,45,0.117647059,0.5,3,1
1,0.339623272,0.047619048,117,0.052631579,0.5,2,1
1,0.339623272,0.058823529,81,0.052631579,0.5,2,1
1,0.455119613,0.1,18,0.111111111,0.5,2,1
1,0.455119613,0.090909091,27,0.111111111,0.5,0,1
1,0.333808201,0.090909091,27,0.05,0.5,2,1
1,0.339623272,0.071428571,54,0.052631579,0.5,2,1
1,0.339623272,0.071428571,54,0.052631579,0.5,0,1
4,1.73544343,0.5,36,0.401680672,0.5,6,1
1,0.352956124,0.076923077,48,0.058823529,0.5,0,1
1,0.352956124,0.058823529,72,0.058823529,0.5,0,1
1,0.352956124,0.071428571,54,0.058823529,0.5,0,1
1,0.352956124,0.071428571,54,0.058823529,0.5,0,1
1,0.434294482,0.026315789,198,0.1,0.5,0,1
1,0.352956124,0.111111111,24,0.058823529,0.5,2,1
3,1.301148948,0.375,30,0.301680672,0.5,4,1
1,0.352956124,0.071428571,54,0.058823529,0.5,0,1
1,0.434294482,0.111111111,24,0.1,0.5,0,1
1,0.352956124,0.142857143,12,0.058823529,0.5,3,1
3,1.301148948,0.375,30,0.301680672,0.5,4,1
1,0.434294482,0.125,18,0.1,0.5,0,1
3,1.301148948,0.375,30,0.301680672,0.5,4,1
1,0.434294482,0.125,18,0.1,0.5,0,1
1,0.434294482,0.125,18,0.1,0.5,0,1
1,0.434294482,0.125,18,0.1,0.5,0,1
1,0.300101629,0.076923077,24,0.035714286,0.5,0,1
1,0.300101629,0.043478261,144,0.035714286,0.5,0,1
1,0.345976256,0.022222222,408,0.055555556,0.5,0,1
1,0.345976256,0.03030303,264,0.055555556,0.5,0,1
2,0.67902481,0.057142857,300,0.107142857,0.5,0,1
2,0.67902481,0.0625,264,0.107142857,0.5,0,1
1,0.300101629,0.076923077,24,0.035714286,0.5,0,1
1,0.345976256,0.055555556,84,0.055555556,0.5,0,1
1,0.345976256,0.043478261,144,0.055555556,0.5,0,1
1,0.300101629,0.076923077,24,0.035714286,0.5,0,1
1,0.345976256,0.035714286,204,0.055555556,0.5,0,1
1,0.345976256,0.066666667,48,0.055555556,0.5,0,1
